id	nev	helyezes	ev	helyszin
111	Belgium	13	1938	Franciaország
112	Mexikó	13	1998	Franciaország
113	Hollandia	14	1938	Franciaország
114	Paraguay	14	1998	Franciaország
115	Holland India	15	1938	Franciaország
116	Norvégia	15	1998	Franciaország
117	Chile	16	1998	Franciaország
118	Spanyolország	17	1998	Franciaország
119	Marokkó	18	1998	Franciaország
120	Belgium	19	1998	Franciaország
121	Irán	20	1998	Franciaország
122	Kolumbia	21	1998	Franciaország
123	Algéria	22	1998	Franciaország
124	Jamaica	22	1998	Franciaország
125	Ausztria	23	1998	Franciaország
126	Dél-Afrika	24	1998	Franciaország
127	Kamerun	25	1998	Franciaország
128	Tunézia	26	1998	Franciaország
129	Skócia	27	1998	Franciaország
130	Szaúd-Arábia	28	1998	Franciaország
131	Koreai Közt	30	1998	Franciaország
132	Japán	31	1998	Franciaország
133	Egyesült Államok	32	1998	Franciaország
134	Brazília	1	2002	Japán-Dél Korea
135	Németország	2	2002	Japán-Dél Korea
136	Törökország	3	2002	Japán-Dél Korea
137	Koreai Közt	4	2002	Japán-Dél Korea
138	Anglia	5	2002	Japán-Dél Korea
139	Egyesült Államok	5	2002	Japán-Dél Korea
140	Spanyolország	5	2002	Japán-Dél Korea
141	Szenegál	5	2002	Japán-Dél Korea
142	Belgium	9	2002	Japán-Dél Korea
143	Dánia	9	2002	Japán-Dél Korea
144	Írország	9	2002	Japán-Dél Korea
145	Japán	9	2002	Japán-Dél Korea
146	Mexikó	9	2002	Japán-Dél Korea
147	Olaszország	9	2002	Japán-Dél Korea
148	Paraguay	9	2002	Japán-Dél Korea
149	Svédország	9	2002	Japán-Dél Korea
150	Argentína	17	2002	Japán-Dél Korea
151	Costa Rica	17	2002	Japán-Dél Korea
152	Dél-Afrika	17	2002	Japán-Dél Korea
153	Ecuador	17	2002	Japán-Dél Korea
154	Franciaország	17	2002	Japán-Dél Korea
155	Horvátország	17	2002	Japán-Dél Korea
156	Kamerun	17	2002	Japán-Dél Korea
157	Kína	17	2002	Japán-Dél Korea
158	Lengyelország	17	2002	Japán-Dél Korea
159	Nigéria	17	2002	Japán-Dél Korea
160	Oroszország	17	2002	Japán-Dél Korea
161	Portugália	17	2002	Japán-Dél Korea
162	Szaúd-Arábia	17	2002	Japán-Dél Korea
163	Szlovénia	17	2002	Japán-Dél Korea
164	Tunézia	17	2002	Japán-Dél Korea
165	Uruguay	17	2002	Japán-Dél Korea
166	Argentína	1	1986	Mexikó
167	Brazília	1	1970	Mexikó
168	Németország	2	1986	Mexikó
169	Olaszország	2	1970	Mexikó
170	Franciaország	3	1986	Mexikó
171	Németország	3	1970	Mexikó
172	Belgium	4	1986	Mexikó
173	Uruguay	4	1970	Mexikó
174	Brazília	5	1986	Mexikó
175	Szovjetunió	5	1970	Mexikó
176	Mexikó	6	1970	Mexikó
177	Mexikó	6	1986	Mexikó
178	Peru	7	1970	Mexikó
179	Spanyolország	7	1986	Mexikó
180	Anglia	8	1970	Mexikó
181	Anglia	8	1986	Mexikó
182	Dánia	9	1986	Mexikó
183	Svédország	9	1970	Mexikó
184	Belgium	10	1970	Mexikó
185	Románia	10	1970	Mexikó
186	Szovjetunió	10	1986	Mexikó
187	Marokkó	11	1986	Mexikó
188	Izrael	12	1970	Mexikó
189	Olaszország	12	1986	Mexikó
190	Bulgária	13	1970	Mexikó
191	Paraguay	13	1986	Mexikó
192	Lengyelország	14	1986	Mexikó
193	Marokkó	14	1970	Mexikó
194	Bulgária	15	1986	Mexikó
195	Csehszlovákia	15	1970	Mexikó
196	Salvador	16	1970	Mexikó
197	Uruguay	16	1986	Mexikó
198	Portugália	17	1986	Mexikó
199	Magyarország	18	1986	Mexikó
200	Skócia	19	1986	Mexikó
201	Koreai Közt	20	1986	Mexikó
202	Peru	20	1986	Mexikó
203	Észak-Írország	21	1986	Mexikó
204	Irak	23	1986	Mexikó
205	Kanada	24	1986	Mexikó
206	Németország	1	1974	Németország
207	Hollandia	2	1974	Németország
208	Lengyelország	3	1974	Németország
209	Brazília	4	1974	Németország
210	Svédország	5	1974	Németország
211	Német DK	6	1974	Németország
212	Jugoszlávia	7	1974	Németország
213	Argentína	8	1974	Németország
214	Skócia	9	1974	Németország
215	Olaszország	10	1974	Németország
216	Chile	11	1974	Németország
217	Bulgária	12	1974	Németország
218	Uruguay	13	1974	Németország
219	Ausztrália	14	1974	Németország
220	Haiti	15	1974	Németország
221	Zaire	16	1974	Németország
